,Abreviatura,Nombre Empresa,Valor Total,Precio Stock,Delta Valor
0,ITX,"Industria de Diseño Textil, S.A.",173.87B,55.24,-1.04%
1,AIR,Airbus SE,122.65B,156.76,0.68%
2,IBE,"Iberdrola, S.A.",83.06B,13.28,-1.26%
3,SAN,"Banco Santander, S.A.",70.46B,4.65,0.18%
4,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",55.06B,9.58,0.29%
5,CABK,"CaixaBank, S.A.",38.81B,5.37,0.30%
6,AENA,"Aena S.M.E., S.A.",30.60B,201.20,-1.37%
7,AMS,"Amadeus IT Group, S.A.",30.50B,69.70,-0.43%
8,FER,Ferrovial SE,29.84B,41.00,
9,TEF,"Telefónica, S.A.",24.46B,4.34,
10,CLNX,"Cellnex Telecom, S.A.",23.92B,33.90,-0.91%
11,ELE,"Endesa, S.A.",22.61B,21.14,-1.03%
12,NTGY,"Naturgy Energy Group, S.A.",22.60B,23.42,-0.43%
13,MTS,ArcelorMittal S.A.,18.97B,24.14,0.42%
14,IAG,International Consolidated Airlines Group S.A.,16.68B,3.40,-0.50%
15,REP,"Repsol, S.A.",13.29B,11.36,0.62%
16,ACS,"ACS, Actividades de Construcción y Servicios, S.A.",12.22B,48.00,-0.04%
17,PUIG,"Puig Brands, S.A.",10.70B,19.45,2.42%
18,SAB,"Banco de Sabadell, S.A.",10.25B,1.91,0.71%
19,RED,"Redeia Corporación, S.A.",9.14B,16.93,-0.12%
20,MAP,"Mapfre, S.A.",7.62B,2.49,-0.80%
21,BKT,"Bankinter, S.A.",6.91B,7.69,-0.93%
22,ANE,"Corporación Acciona Energías Renovables, S.A.",6.49B,20.00,2.51%
23,ANA,"Acciona, S.A.",6.44B,118.00,-0.25%
24,MRL,"MERLIN Properties SOCIMI, S.A.",5.91B,10.26,-2.38%
25,GRF,"Grifols, S.A.",5.39B,8.80,2.02%
26,FDR,"Fluidra, S.A.",4.88B,25.68,2.23%
27,GCO,"Grupo Catalana Occidente, S.A.",4.41B,37.40,-1.19%
28,FCC,"Fomento de Construcciones y Contratas, S.A.",4.22B,9.26,-0.22%
29,LOG,"Logista Integral, S.A.",3.96B,29.76,-0.87%
30,ENG,"Enagás, S.A.",3.39B,12.98,-0.15%
31,UNI,"Unicaja Banco, S.A.",3.30B,1.32,1.07%
32,COL,"Inmobiliaria Colonial, SOCIMI, S.A.",3.28B,5.48,1.86%
33,ROVI,"Laboratorios Farmaceuticos Rovi, S.A.",3.25B,63.40,-0.31%
