,Abreviatura,Nombre Empresa,Valor Total,Precio Stock,Delta Valor
88,RJF,"Laboratorio Reig Jofre, S.A.",218.56M,2.72,
89,ARM,"Árima Real Estate SOCIMI, S.A.",215.66M,8.30,
90,IBG,"Iberpapel Gestión, S.A.",202.68M,18.60,-0.80%
91,ATSI,"Aplicaciones y Tratamiento de Sistemas, S.A.",197.57M,3.74,4.47%
92,OHLA,"Obrascón Huarte Lain, S.A.",186.48M,0.32,0.89%
93,PRM,"Prim, S.A.",171.01M,10.05,
94,ISUR,"Inmobiliaria del Sur, S.A.",162.16M,8.80,-4.86%
95,AMP,"Amper, S.A.",161.04M,0.11,-0.74%
96,ENRS,"Enerside Energy, S.A.",150.24M,4.00,1.52%
97,AZK,"Azkoyen, S.A.",149.73M,6.14,-0.97%
98,SOL,"Soltec Power Holdings, S.A.",145.29M,1.60,
99,UBS,"Urbas Grupo Financiero, S.A.",134.55M,0.00,
100,YVIT,"Vitruvio Real Estate SOCIMI, S.A.",132.30M,14.40,
101,GAM,"General de Alquiler de Maquinaria, S.A.",125.35M,1.33,-0.75%
102,AI,"Airtificial Intelligence Structures, S.A.",121.76M,0.09,2.01%
103,NXT,"Nueva Expresión Textil, S.A.",118.44M,0.35,1.47%
104,SQRL,"Squirrel Media, S.A.",115.12M,1.28,0.79%
105,AMEN,"Aeternal Mentis, S.A.",112.55M,8.55,
106,SNG,"Singular People, S.A.",111.26M,2.12,-0.93%
107,MDF,"Duro Felguera, S.A.",108.45M,0.50,
108,NTH,"Naturhouse Health, S.A.",101.91M,1.70,
109,OLE,"Deoleo, S.A.",101.00M,0.20,-0.50%
110,YIPS,"Inversa Prime SOCIMI, S.A.",95.33M,1.23,0.82%
111,TRG,"Tubos Reunidos, S.A.",90.00M,0.52,-0.77%
112,NEA,"Nicolás Correa, S.A.",89.47M,7.36,2.22%
113,GIGA,"Gigas Hosting, S.A.",89.27M,7.70,0.65%
114,ETC,"Energy Solar Tech, S.A.",82.59M,3.08,0.98%
115,VOC,"Vocento, S.A.",81.64M,0.68,9.35%
116,LLYC,"Llorente & Cuenca, S.A.",79.11M,7.00,
117,MAKS,"Making Science Group, S.A.",75.21M,8.55,
118,AGIL,"Agile Content, S.A.",70.41M,3.04,-0.65%
119,BAIN,"Borges Agricultural & Industrial Nuts, S.A.",67.49M,2.92,
120,LGT,"Lingotes Especiales, S.A.",66.40M,6.66,0.91%
121,PANG,"Pangaea Oncology, S.A.",61.50M,1.79,
122,CLR,"CLERHP Estructuras, S.A.",60.33M,4.21,-0.71%
123,EZE,"Grupo Ezentis, S.A.",51.13M,0.11,-0.93%
124,ALQ,"Alquiber Quality, S.A.",50.14M,9.45,0.53%
125,ADZ,"Adolfo Domínguez, S.A.",49.09M,5.28,-0.75%
126,NBI,"NBI Bearings Europe, S.A.",48.00M,4.00,
127,MTB,"Montebalito, S.A.",41.59M,1.30,
128,GRI,"Griñó Ecologic, S.A.",38.87M,1.28,
129,FACE,"Facephi Biometria, S.A.",35.89M,1.61,0.31%
130,480S,Soluciones Cuatroochenta S.A.,31.42M,11.50,
131,HLZ,"Holaluz-Clidom, S.A.",30.01M,1.43,0.35%
132,TR1,"TIER 1 Technology, S.A.",28.90M,2.96,
133,REN,"Renta Corporación Real Estate, S.A.",23.64M,0.73,0.55%
134,BST,"Biotechnology Assets, S.A.",21.61M,0.34,4.35%
135,MIO,"Media Investment Optimization, S.A.",20.70M,3.18,
136,RIO,"Bodegas Riojanas, S.A.",16.58M,3.48,1.16%
137,NYE,"Nyesa Valores Corporación, S.A.",15.98M,0.01,2.04%
138,DOMO,"Domo Activos, S.A.",14.47M,1.28,
139,COM,"Catenon, S.A.",13.22M,0.73,-2.01%
140,KOM,"Plásticos Compuestos, S.A.",12.02M,1.01,
141,ELZ,"Asturiana de Laminados, S.A.",12.00M,0.10,
142,END,"Endurance Motive, S.A.",11.89M,1.22,1.25%
143,SAI,"Substrate Artificial Inteligence, S.A.",10.70M,0.11,-4.23%
144,SPH,"Profithol, S.A.",10.52M,0.54,-3.23%
145,PVA,"Pescanova, S.A.",9.91M,0.34,-0.58%
146,RBT,"Robot, S.A.",5.15M,1.83,
