,Abreviatura,Nombre Empresa,Valor Total,Precio Stock,Delta Valor
88,RJF,"Laboratorio Reig Jofre, S.A.",217.76M,2.73,0.37%
89,ARM,"Árima Real Estate SOCIMI, S.A.",215.66M,8.30,
90,IBG,"Iberpapel Gestión, S.A.",205.95M,18.75,-0.79%
91,ATSI,"Aplicaciones y Tratamiento de Sistemas, S.A.",186.59M,3.74,4.47%
92,OHLA,"Obrascón Huarte Lain, S.A.",181.99M,0.31,0.13%
93,PRM,"Prim, S.A.",169.82M,9.98,-2.16%
94,ISUR,"Inmobiliaria del Sur, S.A.",169.53M,8.90,-3.26%
95,AMP,"Amper, S.A.",161.64M,0.11,-1.48%
96,AZK,"Azkoyen, S.A.",151.69M,6.18,-0.64%
97,ENRS,"Enerside Energy, S.A.",147.99M,3.94,-1.50%
98,SOL,"Soltec Power Holdings, S.A.",145.29M,1.60,
99,UBS,"Urbas Grupo Financiero, S.A.",134.55M,0.00,-3.33%
100,YVIT,"Vitruvio Real Estate SOCIMI, S.A.",132.30M,14.40,
101,GAM,"General de Alquiler de Maquinaria, S.A.",126.29M,1.34,2.29%
102,AI,"Airtificial Intelligence Structures, S.A.",120.02M,0.09,-0.67%
103,SNG,"Singular People, S.A.",118.68M,2.08,-7.14%
104,SQRL,"Squirrel Media, S.A.",116.03M,1.30,1.56%
105,AMEN,"Aeternal Mentis, S.A.",112.55M,8.55,
106,MDF,"Duro Felguera, S.A.",108.45M,0.50,
107,NXT,"Nueva Expresión Textil, S.A.",106.25M,0.31,-2.56%
108,OLE,"Deoleo, S.A.",103.00M,0.21,-0.49%
109,NTH,"Naturhouse Health, S.A.",101.61M,1.69,-0.30%
110,YIPS,"Inversa Prime SOCIMI, S.A.",94.56M,1.23,0.82%
111,TRG,"Tubos Reunidos, S.A.",89.13M,0.51,-4.48%
112,GIGA,"Gigas Hosting, S.A.",88.69M,7.65,-4.38%
113,NEA,"Nicolás Correa, S.A.",86.55M,7.14,0.28%
114,ETC,"Energy Solar Tech, S.A.",81.25M,3.03,0.66%
115,LLYC,"Llorente & Cuenca, S.A.",79.11M,7.00,
116,MAKS,"Making Science Group, S.A.",75.21M,8.55,
117,VOC,"Vocento, S.A.",74.65M,0.62,0.65%
118,AGIL,"Agile Content, S.A.",69.95M,3.04,-0.65%
119,BAIN,"Borges Agricultural & Industrial Nuts, S.A.",67.95M,2.94,
120,LGT,"Lingotes Especiales, S.A.",66.00M,6.66,0.91%
121,PANG,"Pangaea Oncology, S.A.",61.50M,1.79,
122,CLR,"CLERHP Estructuras, S.A.",60.91M,4.21,-0.71%
123,EZE,"Grupo Ezentis, S.A.",52.57M,0.11,-1.79%
124,ALQ,"Alquiber Quality, S.A.",49.87M,9.40,
125,NBI,"NBI Bearings Europe, S.A.",48.00M,4.00,
126,ADZ,"Adolfo Domínguez, S.A.",46.14M,5.00,
127,MTB,"Montebalito, S.A.",41.59M,1.30,
128,GRI,"Griñó Ecologic, S.A.",38.87M,1.28,
129,FACE,"Facephi Biometria, S.A.",35.89M,1.60,2.56%
130,480S,Soluciones Cuatroochenta S.A.,31.42M,11.50,
131,HLZ,"Holaluz-Clidom, S.A.",31.11M,1.43,0.35%
132,TR1,"TIER 1 Technology, S.A.",28.90M,2.96,
133,REN,"Renta Corporación Real Estate, S.A.",22.03M,0.68,-2.56%
134,MIO,"Media Investment Optimization, S.A.",20.70M,3.18,
135,BST,"Biotechnology Assets, S.A.",20.39M,0.32,-0.78%
136,RIO,"Bodegas Riojanas, S.A.",16.58M,3.44,
137,NYE,"Nyesa Valores Corporación, S.A.",15.98M,0.01,
138,DOMO,"Domo Activos, S.A.",14.47M,1.28,
139,COM,"Catenon, S.A.",13.40M,0.74,
140,KOM,"Plásticos Compuestos, S.A.",12.02M,1.01,
141,ELZ,"Asturiana de Laminados, S.A.",12.00M,0.10,
142,END,"Endurance Motive, S.A.",11.50M,1.18,6.82%
143,SAI,"Substrate Artificial Inteligence, S.A.",10.57M,0.11,1.43%
144,SPH,"Profithol, S.A.",10.56M,0.57,4.43%
145,PVA,"Pescanova, S.A.",9.94M,0.35,
146,RBT,"Robot, S.A.",5.15M,1.83,
